20 10
001 001 001 001 001 001 001 001 001 001 001 001 001 001 001 001 001 001 001 001
001 000 000 000 000 001 051 001 000 000 000 000 000 000 000 000 000 000 121 001
001 000 055 000 000 001 051 101 000 000 000 120 000 000 000 000 000 120 120 001
001 000 000 000 000 103 000 001 000 000 055 000 000 000 000 000 000 120 120 001
001 001 001 100 001 001 001 001 000 000 000 000 000 000 120 000 000 120 120 001
001 000 000 000 000 000 000 000 000 000 000 000 054 000 120 000 000 120 120 001
001 000 000 051 000 000 000 000 000 000 053 000 000 000 120 000 000 120 120 001
001 000 000 051 052 000 000 120 000 000 055 000 120 000 120 000 000 000 120 001
001 000 000 000 000 000 055 000 000 000 055 000 000 000 000 000 000 000 000 001
001 001 001 001 001 001 001 001 108 001 001 001 001 001 001 001 001 001 001 001
